Key,ptBR
LunchBox_ContentLine1,"Itens que podem ser Dwellers, CAPS, Recursos, Armas, Armaduras, Pets, Stimpaks, RadAways, Sucata, Mr. Handy ou Nuka-Cola Quantum."
LunchBox_ContentLine2,Total de 5 cartas sorteadas em ordem aleatória
LunchBox_ContentRedeemTitle1,Lunchbox
LunchBox_ContentRedeemTitle2,Pacote de 5 Lunchboxes
LunchBox_ContentRedeemTitle3,Pacote de 15 Lunchboxes
LunchBox_ContentRedeemTitle4,Pacote de 40 Lunchboxes
LunchBox_ContentTitle,CADA LUNCHBOX CONTÉM:
LunchBox_DoYouWantToBuyOne,"Você não tem nenhuma Lunchbox, gostaria de comprar uma?"
LunchBox_NotEnoughNuka,Você não tem CAPS suficientes
LunchBox_WindowTitle,Lunchboxes
MainMenu_EnterVault,ENTRAR NO VAULT {0}
MainMenu_NoVault_Survival,Recomendamos fortemente que você jogue com um Vault em modo normal para aprender o básico do jogo antes de tentar o Modo Sobrevivência.
MainMenu_Survival_Mode,Modo Sobrevivência
MainMenu_Survival_Mode_Confirm,"Alerta Prioritário Vault-Tec! Detectamos que você optou por nosso experimento social mais rigoroso e perigoso até agora – o Modo Sobrevivência! No Modo Sobrevivência, seu Vault enfrentará ameaças mais letais, a necessidade de recursos será maior e você não poderá reviver Dwellers mortos!"
MainMenu_Survival_Mode_Confirm_Part02,"Além disso, uma vez que você prossiga neste curso, não há como voltar atrás! Como não há tempo para realizar uma avaliação psicológica completa, a Vault-Tec terá de assumir que você está em pleno controle de suas faculdades e compreende plenamente as consequências desta escolha. Boa sorte, Overseer!"
MainMenu_TapToStart,ENTRAR NO VAULT {0}
MainMenu_WelcomeTo,BEM-VINDO AO
MainMenu_Xbox_SignIn,"Por favor, faça login."
MainMenu_Xbox_SignInError,Evento de login não tratado
MainMenu_Xbox_SigningIn,Fazendo login...
MainMenu_Xbox_SwitchingProfile,Trocando perfil...
Menu_Loading,CARREGANDO
Menu_NowLoading,Carregando...
Message_Androind_QuitWarning_Text,Tem certeza de que deseja sair do Fallout Shelter?
Message_Androind_QuitWarning_Title,SAIR
Message_CantDestroyRoom_Dweller,Você não pode destruir esta Sala porque há Dwellers designados a ela.
Message_CantDestroyRoom_InUse,Você não pode destruir esta Sala porque ela está sendo usada
Message_CantDestroyRoom_MrHandy,Você não pode destruir esta Sala porque há um Mr. Handy designado a ela.
Message_CantDestroyRoom_Path,Você não pode destruir esta Sala porque ela está conectada a duas Salas.
Message_CantDestroyRoom_Storage,Você não pode destruir esta Sala porque o espaço de Depósito está sendo usado.
Message_CantDestroyRoom_VaultDwellerSpace,Não é possível destruir esta Sala pois seu Vault ficaria superlotado.
Message_CompleteThemeRecipeNukaQuantum,Completar esta Receita de Tema por {0} Nuka-Cola Quantum?
Message_CraftingTimeSkipNukaQuantum,Fabricar este item instantaneamente por {0} Nuka-Cola Quantum?
Message_CriticalHit_Failed,FALHOU
Message_CriticalHit_Multiplier,{0}X DE DANO
Message_CustomizationTimeSkipNukaQuantum,Completar esta personalização instantaneamente por {0} Nuka-Cola Quantum?
Message_DataUpdateRequired,"Há novos dados de jogo disponíveis. Por favor, volte ao menu principal e recarregue seu Vault."
Message_DoYouWantDestroyTheRock,Você realmente quer destruir esta rocha?
Message_DoYouWantDestroyTheRoom,"Você realmente quer destruir esta Sala?
Reembolso: {0} CAPS"
Message_DoYouWantRemoveMrHandy,"Isso removerá permanentemente este robô do seu Vault, tem certeza?"
Message_DoYouWantToSellItem,Tem certeza de que deseja vender {0} por {1} CAPS?
Message_DwellerBorn,Novo Bebê
Message_DwellersWaiting,Há Dwellers demais na fila de espera.
Message_EvictDweller,Você realmente quer expulsar o Dweller?
Message_GenericPopup_Body,A Vault-Tec forneceu a todos os Overseers algumas recompensas especiais!
Message_GenericPopup_Title,Alerta Prioritário Vault-Tec!
Message_GoToQuestSkipNukaQuantum,Iniciar a Missão instantaneamente por {0} Nuka-Cola Quantum?
Message_IncompatibleJoystick,"Seu controle pode não ser compatível. Se tiver problemas, desconecte-o."
Message_Intro_01,Parabéns! A Vault-Tec selecionou você para ser o Overseer do Vault [XXX].
Message_Intro_02,O Vault mantém as pessoas seguras dos perigos do Wasteland.
Message_Intro_03,"Como Overseer, seu trabalho é expandir e manter o Vault, enquanto mantém seus Dwellers seguros e felizes."
Message_Intro_04,Cada Sala tem um atributo S.P.E.C.I.A.L. que ela usa. Designe Dwellers com o melhor S.P.E.C.I.A.L. para deixá-los felizes e produzir Recursos extras.
Message_Intro_05,A Vault-Tec dará a você uma classificação diária baseada em seu desempenho. Lembre-se de manter seus Dwellers felizes e faça um ótimo trabalho!
Message_InventoryFailure,"Houve um problema ao recuperar sua lista de itens, tente novamente mais tarde."
Message_LivingQuarters_Full,O Vault está cheio de Dwellers. Construa mais Alojamentos.
Message_MaxLevel,Nível Máximo Atingido
Message_NeedOverseerOffice,Você precisa construir o Escritório do Overseer antes de acessar a Lista de Missões.
Message_NoCraft_Incident,Você não pode Fabricar durante um Incidente.
Message_NoCustomize_Incident,Você não pode Personalizar um Dweller durante um Incidente.
Message_NoDwellers,Você não tem Dwellers designados a esta Sala.
Message_NoRush,Você não pode Acelerar esta Sala agora.
Message_NoSkipTime,Você não pode usar Nuka-Cola Quantum no momento. Tente novamente mais tarde.
Message_NoSpaceForRoom,Sem Espaço para a Sala
Message_NotEnoughResources,Você não tem recursos suficientes
Message_NoValidDwellerToStartQuestTutorial,Você precisa ter pelo menos um Dweller no seu Vault que possa ser enviado para o Wasteland antes de poder construir o Escritório do Overseer.
Message_ObjectiveSkipNukaQuantum,Pular este Objetivo por {0} Nuka-Cola Quantum?
Message_UltraciteToolTip,Não pode ser destruído. Construa uma Mina de Ultracite aqui.
Message_OneHundredMillionPopup_Body,"Juntos, alcançamos um grande marco:

Mais de 100 Milhões de Overseers criaram seu próprio Fallout Shelter!
Por favor, aproveite este presente, como forma da Vault-Tec dizer... OBRIGADO!
E não se esqueça de voltar amanhã para mais uma recompensa especial!"
Message_OneHundredMillionPopup_Body2,"Juntos, alcançamos um grande marco:

Mais de 100 Milhões de Overseers criaram seu próprio Fallout Shelter!
Por favor, aproveite este presente, como forma da Vault-Tec dizer... OBRIGADO!"
Message_OutOfAP,Você não tem CAPS suficientes
Message_OutOfNukaCaps,Você não tem CAPS suficientes
Message_OutOfNukaQuantum,Você precisa de mais {0} Nuka-Cola Quantum. Comprar mais?
Message_OutOfNukaQuantumStoreButton,LOJA
Message_OutOfNukaQuantumStoreButton_Switch,ABRIR ESHOP
Message_OutOfRadAway,Você não tem mais RadAway
Message_OutOfStimpacks,Você não tem mais Stimpaks
Message_OverseerOfficeNoPower,O Escritório do Overseer não funciona sem Energia. Gere mais Energia para colocá-lo de volta em funcionamento!
Message_PCOfflineMode,"O Fallout Shelter será executado em Modo Offline. A loja ficará indisponível. Para acessar a loja, reinicie o jogo pelo launcher da Bethesda.net."
Message_PCOfflineMode_Steam,O Steam está offline no momento. A loja está temporariamente indisponível e você não poderá fazer compras.
Message_PCServiceUnavailable,"O serviço Bethesda.Net está temporariamente indisponível, tente novamente mais tarde."
Message_PS4EmptyStore,Nenhum item está disponível para compra na loja no momento.
Message_PS4SignIn,Você precisa estar conectado à PlayStation™Network para usar este recurso.
Message_PurchaseConnectionError,"Não é possível conectar à loja, verifique sua conexão e tente novamente!"
Message_PurchaseFailure,"Não é possível comprar este item agora, verifique sua conexão e tente novamente!"
Message_PurchasePCConnectionError,A loja não está disponível no Modo Offline. Reinicie o jogo pelo launcher da Bethesda.net para acessar a loja.
Message_Quest_DeadDweller_Recall_Warning,Você perderá seus Dwellers mortos. Tem certeza de que deseja Recordar?
Message_Quest_DeadDweller_RemoveAll_Warning,Você perderá seus Dwellers mortos. Tem certeza de que deseja Remover Todos?
Message_Quest_DwellerNoLongerAvailable,{0} não pode ser designado a uma Missão agora.
Message_Quest_GiveUp,Qualquer item encontrado na Missão será perdido. Tem certeza de que deseja que seus Dwellers desistam?
Message_Quest_MaxTeams,Você já enviou o número máximo de equipes de Missão. Melhore o Escritório do Overseer para enviar mais.
Message_Quest_MaxTeams_MaxLevel,Você já enviou o número máximo de equipes de Missão.
Message_Quest_ReturnToVault,Tem certeza de que deseja que seus Dwellers retornem ao Vault?
Message_Quest_ReturnToWastelandFromSurpriseQuest,Continuar explorando o Wasteland?
Message_QuestSkipNukaQuantum,Pular esta Missão por {0} Nuka-Cola Quantum?
Message_RadAway_NoRad,"Sem radiação, uso de RadAway não é necessário"
Message_Ready,Pronto
Message_RedeemBeforeBuyingAgain,"Este item já está aguardando para ser resgatado. Por favor, Resgate-o na Loja antes de comprá-lo novamente."
Message_RedeemPopup_Body,"Vá à Loja para [ffff00]Resgatar[-].
Itens podem ser resgatados a qualquer momento."
Message_RedeemPopup_Continue,CLIQUE PARA RESGATAR
Message_RedeemPopup_Continue_Switch,TOQUE PARA RESGATAR
Message_RedeemPopup_Continue_Xbox,PRESSIONE [A] PARA RESGATAR
Message_RedeemPopup_Hint,Itens só podem ser resgatados em um Vault.
Message_RedeemPopup_Title,Você tem novas compras para resgatar!
Message_ReedemStarterPackAlreadyPurchased,Apenas um Pacote Inicial pode ser resgatado por Vault. Tente novamente em um Vault diferente.
Message_RemoveDeadDweller,Você realmente quer remover o Dweller morto?
Message_RemoveDeadDwellerQuest,Você realmente quer remover todos os Dwellers mortos?
Message_ReplaceLocalSave,O Save em Nuvem substituirá seu Jogo Local atual. Deseja continuar?
Message_RoomInEmeregency,Você não pode Acelerar uma Sala durante um Incidente.
Message_RoomMaxPets,Não é possível designar mais Dwellers com Pets a esta Sala.
Message_RoomRushing,Uma Sala está em Modo Acelerado no momento.
Message_RoomSkipingTime,Outra Sala está usando Nuka-Cola Quantum no momento. Tente novamente mais tarde.
Message_Stimpack_FullHP,"PS cheios, uso de Stimpak não é necessário"
Message_StorageFull_Crafting,Você não pode coletar um item fabricado enquanto seu Inventário estiver cheio.
Message_StorageFull_Scrapping,Você não pode Desmontar um item enquanto seu Inventário estiver cheio.
Message_ThemeChange_Diner,O Tema de todos os seus Diners completamente fundidos e melhorados será alterado de {0} para {1}. Tem certeza?
Message_ThemeChange_LivingQuarters,O Tema de todos os seus Alojamentos completamente fundidos e melhorados será alterado de {0} para {1}. Tem certeza?
Message_ThemeChange_WeaponFactory,O Tema de todas as suas Fábricas de Armas completamente fundidas e melhoradas será alterado de {0} para {1}. Tem certeza?
Message_ThemeCraftingTimeSkipNukaQuantum,Fabricar este Tema instantaneamente por {0} Nuka-Cola Quantum?
Message_ThemeReload,Você precisa recarregar seu Vault para aplicar o Tema {0}. Deseja recarregar seu Vault agora?
Message_TooManyMrHandyInWasteland,Você já enviou a quantidade máxima de Mr. Handys para o Wasteland
Message_TrainingTimeSkipNukaQuantum,Treinar seu Dweller instantaneamente por {0} Nuka-Cola Quantum?
Message_Tutorial_01,"Bem-vindo ao seu novo Vault, {OVERSEER}. Vamos apresentar a você os conceitos básicos."
Message_Tutorial_02,Primeiro vamos {BUILD} uma {ROOM}. Toque no {HAMMER ICON} para abrir o {BUILD MENU}.
Message_Tutorial_02_PC,Primeiro vamos {BUILD} uma {ROOM}. Clique no {HAMMER ICON} para abrir o {BUILD MENU}.
Message_Tutorial_02_Xbox,Primeiro vamos {BUILD} uma {ROOM}. Pressione [Y] para abrir o {BUILD MENU}.
Message_Tutorial_03,Vamos construir um {POWER GENERATOR} que produzirá {POWER}. {TAP} na {POWER ROOM}.
Message_Tutorial_03_PC,Vamos construir um {POWER GENERATOR} que produzirá {POWER}. {CLICK} na {POWER ROOM}.
Message_Tutorial_03_Xbox,Vamos construir um {POWER GENERATOR} que produzirá {POWER}. Pressione [A] para {SELECT} a {POWER ROOM}.
Message_Tutorial_04,{BUILD ZONES} são onde você pode construir {ROOMS}. Confirme a localização {TAPPING} na {BUILD ZONE}.
Message_Tutorial_04_PC,{BUILD ZONES} são onde você pode construir {ROOMS}. Confirme a localização {CLICKING} na {BUILD ZONE}.
Message_Tutorial_04_PS4,{BUILD ZONES} são onde você pode construir {ROOMS}. Use o {LEFT STICK} para {SELECT} uma {BUILD ZONE} e {PRESS} [A] para confirmar.
Message_Tutorial_04_Switch,{BUILD ZONES} são onde você pode construir {ROOMS}. Use o {LEFT STICK} para {SELECT} uma {BUILD ZONE} e {PRESS} [A] para confirmar.
Message_Tutorial_04_Xbox,{BUILD ZONES} são onde você pode construir {ROOMS}. Use o {LEFT STICK} para {SELECT} uma {BUILD ZONE} e {PRESS} [A] para confirmar.
Message_Tutorial_05,Agora precisamos de {DWELLERS} para fazer o {POWER GENERATOR} produzir Energia.
Message_Tutorial_06,Olha! {NEW DWELLERS} apareceram na {VAULT DOOR}.
Message_Tutorial_07,Vamos ver as {STATS} de um {DWELLER}. {TAP} em um {DWELLER} para {SEE THEIR INFO}.
Message_Tutorial_07_PC,Vamos ver as {STATS} de um {DWELLER}. {CLICK} em um {DWELLER} para {SEE THEIR INFO}.
Message_Tutorial_07_PS4,Vamos ver as {STATS} de um {DWELLER}. {MOVE} até o {WASTELAND} com o Analógico Esquerdo para {SELECT} o primeiro {DWELLER}.
Message_Tutorial_07_Switch,Vamos ver as {STATS} de um {DWELLER}. {MOVE} até o {WASTELAND} com o Analógico Esquerdo para {SELECT} o primeiro {DWELLER}.
Message_Tutorial_07_Xbox,Vamos ver as {STATS} de um {DWELLER}. {MOVE} até o {WASTELAND} com o Analógico Esquerdo para {SELECT} o primeiro {DWELLER}.
Message_Tutorial_08,Você pode ver as estatísticas {DWELLER'S SPECIAL}. Esta informação diz onde um {DWELLER} pode ser usado com mais eficiência.
Message_Tutorial_09,"Para designar um {DWELLER}, {TAP} e {HOLD} no Dweller e depois {DRAG} para uma Sala. Tente designar este {DWELLER} à Sala {POWER GENERATOR} que você acabou de construir."
Message_Tutorial_09_PC,"Para designar um {DWELLER}, {CLICK} e {HOLD} no Dweller e depois {DRAG} para uma Sala. Tente designar este {DWELLER} à Sala {POWER GENERATOR} que você acabou de construir."
Message_Tutorial_09_Xbox,"Para designar um {SELECTED DWELLER}, {HOLD} [A] para agarrá-lo e depois {SELECT} uma Sala. Tente designar este {DWELLER} à Sala {POWER GENERATOR} que você acabou de construir."
Message_Tutorial_10,Agora designe o segundo {DWELLER} ao {POWER GENERATOR}. Lembre-se de {TAP} e {HOLD} e depois {DRAG} o {DWELLER} para a Sala.
Message_Tutorial_10_PC,Agora designe o segundo {DWELLER} ao {POWER GENERATOR}. Lembre-se de {CLICK} e {HOLD} e depois {DRAG} o {DWELLER} para a Sala.
Message_Tutorial_10_Xbox,Agora designe o segundo {DWELLER} ao {POWER GENERATOR}. Lembre-se de {MOVE} até o {WASTELAND} e depois {HOLD} [A] para agarrá-lo.
Message_Tutorial_11,"Agora que os {DWELLERS} estão trabalhando, a Sala começará a {PRODUCING RESOURCES}. {DOUBLE TAP} em uma {ROOM} para ver mais de perto."
Message_Tutorial_11_PC,"Agora que os {DWELLERS} estão trabalhando, a Sala começará a {PRODUCING RESOURCES}. {DOUBLE CLICK} em uma {ROOM} para ver mais de perto."
Message_Tutorial_11_Xbox,"Agora que os {DWELLERS} estão trabalhando, a Sala começará a {PRODUCING RESOURCES}. {HOLD} [RT] para ampliar e ver mais de perto."
Message_Tutorial_12,"Se você precisar urgentemente de recursos extras, pode usar o {RUSH MODE}. {TAP} no {RUSH BUTTON} para {OPEN} o {RUSH MENU}."
Message_Tutorial_12_PC,"Se você precisar urgentemente de recursos extras, pode usar o {RUSH MODE}. {CLICK} no {RUSH BUTTON} para {OPEN} o {RUSH MENU}."
Message_Tutorial_12_Xbox,"Se você precisar urgentemente de recursos extras, pode usar o {RUSH MODE}. Pressione [DU] para {OPEN} o {RUSH MENU}."
Message_Tutorial_13,"Ativar o Acelerar produz instantaneamente {RESOURCES} e também te {AWARDS} com {CAPS}. Embora tome cuidado, pois podem ocorrer {INCIDENTS} destrutivos."
Message_Tutorial_14,Ótimo! Você completou com sucesso seu primeiro Acelerar e coletou {CAPS}.
Message_Tutorial_15,Agora {TAP} no {RESOURCE ICON} para {COLLECT} os recursos e {RESTART ROOM PRODUCTION}.
Message_Tutorial_15_PC,Agora {CLICK} no {RESOURCE ICON} para {COLLECT} os recursos e {RESTART ROOM PRODUCTION}.
Message_Tutorial_15_Xbox,Agora pressione [A] para {COLLECT} os recursos e {RESTART ROOM PRODUCTION}.
Message_Tutorial_16,"A cada {WEEK}, a {VAULT-TEC} inspecionará seu Vault e dará a você uma classificação baseada em seu desempenho."
Message_Tutorial_17,Parabéns! Você ganhou sua primeira {REWARD} - uma {LUNCH BOX} cheia de coisas boas.
Message_Tutorial_18,Complete {OBJECTIVES} da Vault-Tec para ganhar {CAPS} e {INCREASE} sua {VAULT-TEC RATING}.
Message_Tutorial_19,{ADD FRIENDS} para {VISIT} e ver seus {VAULT} e {COLLECT CAPS}.
Message_Tutorial_20,"Envie {DWELLERS} para o {WASTELAND} para coletar {CAPS}, {OUTFITS} e {WEAPONS}."
Message_Tutorial_21,O {RADIO STUDIO} atrai Dwellers do Wasteland e aumenta a {DWELLER HAPPINESS} no Vault.
Message_Tutorial_22,Aqui você pode ver e gerenciar todas as {WEAPONS} e {OUTFITS} que possui atualmente.
Message_Tutorial_23,{TRAIN} seus Dwellers para {INCREASE} suas estatísticas {SPECIAL}.
Message_Tutorial_24,Dwellers {MALE} e {FEMALE} nos {LIVING QUARTERS} têm chance de fazer {BABIES}.
Message_Tutorial_25,{DESTROY ROCKS} para {EXPAND} seu {VAULT} mais fundo.
Message_Tutorial_26,Salas de {STORAGE} expandem seu {VAULT INVENTORY}.
Message_Tutorial_27,As Salas precisam de {POWER} para funcionar. Toque novamente para {CONFIRM}.
Message_Tutorial_27_PC,As Salas precisam de {POWER} para funcionar. Clique novamente para {CONFIRM}.
Message_Tutorial_27_Xbox,As Salas precisam de {POWER} para funcionar. Pressione [A] novamente para {CONFIRM}.
Message_Tutorial_28,"Agora que você conhece as regras básicas do papel de Overseer, continue expandindo seu Vault. Apenas lembre-se de manter seus Dwellers vivos e felizes. Boa sorte!"
Message_Tutorial_29,Clique nos {NUKA CAPS} para abrir o {LUNCHBOX MENU}.
Message_Tutorial_29_Xbox,Selecione o {LUNCHBOX ICON} no {PIP-BOY} para abrir o {LUNCHBOX MENU}.
Message_Tutorial_30,Olha! {MORE DWELLERS} apareceram na {VAULT DOOR}.
Message_Tutorial_31,Certifique-se de equipar seus {DWELLERS} antes de enviá-los para explorar o {WASTELAND}. Isso aumentará as chances de sobrevivência deles.
Message_Tutorial_32,{BUILD} um {ELEVATOR} para ter acesso ao próximo andar.
Message_Tutorial_34,Lembre-se de {DESTROY} uma rocha antes de {BUILD} uma {ROOM}.
Message_Tutorial_35,Sem mais espaço disponível para construção! {DESTROY} a {ROCK} que está bloqueando a Sala para continuar.
Message_Tutorial_36,{DESTROY} a rocha que está bloqueando o elevador para acessar o próximo andar.
Message_Tutorial_38,Vamos construir uma segunda {ROOM}.
Message_Tutorial_39,"Você precisa de um {DINER}, que produzirá {FOOD}. {TAP} no {DINER}."
Message_Tutorial_39_PC,"Você precisa de um {DINER}, que produzirá {FOOD}. {CLICK} no {DINER}."
Message_Tutorial_39_Xbox,"Você precisa de um {DINER}, que produzirá {FOOD}. {SELECT} o {DINER}."
Message_Tutorial_40,Dwellers precisam de {FOOD} para manter sua {HEALTH}. Toque novamente para {CONFIRM}.
Message_Tutorial_40_PC,Dwellers precisam de {FOOD} para manter sua {HEALTH}. Clique novamente para {CONFIRM}.
Message_Tutorial_40_Xbox,Dwellers precisam de {FOOD} para manter sua {HEALTH}. Pressione [A] novamente para {CONFIRM}.
Message_Tutorial_41,Confirme a localização {TAPPING} na {BUILD ZONE}.
Message_Tutorial_41_PC,Confirme a localização {CLICKING} na {BUILD ZONE}.
Message_Tutorial_41_Xbox,Confirme a localização {SELECTING} uma {BUILD ZONE}.
Message_Tutorial_42,Agora vamos construir mais uma Sala.
Message_Tutorial_43,"Desta vez, você precisa de uma Sala de {WATER TREATMENT}, que produzirá {WATER}. {TAP} em {WATER TREATMENT}."
Message_Tutorial_43_PC,"Desta vez, você precisa de uma Sala de {WATER TREATMENT}, que produzirá {WATER}. {CLICK} em {WATER TREATMENT}."
Message_Tutorial_43_Xbox,"Desta vez, você precisa de uma Sala de {WATER TREATMENT}, que produzirá {WATER}. {SELECT} o {WATER TREATMENT}."
Message_Tutorial_44,Dwellers precisam de {WATER} para manter o nível de {RADIATION} baixo. Toque novamente para {CONFIRM}.
Message_Tutorial_44_PC,Dwellers precisam de {WATER} para manter o nível de {RADIATION} baixo. Clique novamente para {CONFIRM}.
Message_Tutorial_44_Xbox,Dwellers precisam de {WATER} para manter o nível de {RADIATION} baixo. Pressione [A] novamente para {CONFIRM}.
Message_Tutorial_45,Confirme a localização {TAPPING} na {BUILD ZONE}.
Message_Tutorial_45_PC,Confirme a localização {CLICKING} na {BUILD ZONE}.
Message_Tutorial_45_Xbox,Confirme a localização {SELECTING} uma {BUILD ZONE}.
Message_Tutorial_46,Ótimo trabalho! Aqui estão {FOOD} e {WATER} para começar seu {VAULT}. Olhe os {METERS} para acompanhar as necessidades de {RESOURCES}.
Message_Tutorial_46_PS4,Ótimo trabalho! Aqui estão {FOOD} e {WATER} para começar seu {VAULT}. Pressione {L3} para exibir os detalhes do {METER} do Vault e lembre-se de acompanhar as necessidades de {RESOURCES}.
Message_Tutorial_46_Switch,Ótimo trabalho! Aqui estão {FOOD} e {WATER} para começar seu {VAULT}. {PRESS} o {LEFT STICK} para exibir os detalhes do {METER} do Vault e lembre-se de acompanhar as necessidades de {RESOURCES}.
Message_Tutorial_46_Xbox,Ótimo trabalho! Aqui estão {FOOD} e {WATER} para começar seu {VAULT}. {CLICK} o {LEFT STICK} para exibir os detalhes do {METER} do Vault e lembre-se de acompanhar as necessidades de {RESOURCES}.
Message_Tutorial_47,{JUNK} é usado para {CRAFT WEAPONS} e {OUTFITS} nas Salas de {WORKSHOP}.
Message_Tutorial_48,Uma {PREGNANT DWELLER} está pronta para dar à luz! {TAP} no {ICON} acima da cabeça dela para dar boas-vindas a uma {CHILD} no seu Vault.
Message_Tutorial_48_PC,Uma {PREGNANT DWELLER} está pronta para dar à luz! {CLICK} no {ICON} acima da cabeça dela para dar boas-vindas a uma {CHILD} no seu Vault.
Message_Tutorial_48_Xbox,Uma {PREGNANT DWELLER} está pronta para dar à luz! {SELECT} ela para dar boas-vindas a uma {CHILD} no seu Vault.
Message_Tutorial_49,"Seu {INVENTORY} está {FULL}. Itens {ITEMS} em excesso serão armazenados, mas ficarão {UNAVAILABLE} até que haja espaço para eles."
Message_Tutorial_50,{ITEMS} dentro de um {DASHED RECTANGLE} excedem seu {INVENTORY} e ficam {UNAVAILABLE} até que haja espaço para eles.
Message_Tutorial_51,"{SCRAPPING} um {ITEM} o transforma em {JUNK}, mas é {RISKY}. Você pode obter muito {JUNK}, pouco, ou nada."
Message_Tutorial_52,Parabéns – você acabou de construir o {OVERSEER'S OFFICE}! Agora você pode enviar equipes de {DWELLERS} para fora do Vault em {QUESTS}.
Message_Tutorial_53,"Para acessar sua {QUEST LIST}, {SELECT} o {PIP-BOY}."
Message_Tutorial_53_Xbox,"Para acessar sua {QUEST LIST}, pressione [B] para abrir o {PIP-BOY}."
Message_Tutorial_54,Agora {SELECT} o {MAP ICON}.
Message_Tutorial_55,As {QUESTS} disponíveis serão listadas aqui. {SELECT} a primeira {QUEST} para mais informações.
Message_Tutorial_56,{TAP} aqui para designar {DWELLERS} à equipe da {QUEST}.
Message_Tutorial_56_PC,{CLICK} aqui para designar {DWELLERS} à equipe da {QUEST}.
Message_Tutorial_56_Xbox,Pressione [A] para designar {DWELLERS} à equipe da {QUEST}.
Message_Tutorial_57,Primeiro {SELECT} um slot de {DWELLER}.
Message_Tutorial_58,Agora {SELECT} o Dweller que deseja enviar na {QUEST}.
Message_Tutorial_59,{SELECT} os slots do inventário para preparar os {DWELLERS} para a {QUEST}.
Message_Tutorial_60,Agora {SELECT} uma {WEAPON}.
Message_Tutorial_61,"Quando terminar de designar e equipar os {DWELLERS}, {TAP} no botão {START QUEST} para enviá-los em sua aventura."
Message_Tutorial_61_PC,"Quando terminar de designar e equipar os {DWELLERS}, {CLICK} no botão {START QUEST} para enviá-los em sua aventura."
Message_Tutorial_61_Xbox,"Quando terminar de designar e equipar os {DWELLERS}, selecione {START QUEST} para enviá-los em sua aventura."
Message_Tutorial_62,{TAP} no {WASTELAND} para abrir o {WASTELAND QUEST LOG}.
Message_Tutorial_62_PC,{CLICK} no {WASTELAND} para abrir o {WASTELAND QUEST LOG}.
Message_Tutorial_62_Xbox,Pressione [DL] para abrir o {WASTELAND QUEST LOG}.
Message_Tutorial_63,Com {NUKA-COLA QUANTUM} você pode chegar a uma {QUEST} instantaneamente. {TAP} aqui para usar a {NUKA-COLA QUANTUM} fornecida pela Vault-Tec para chegar nesta {QUEST} agora.
Message_Tutorial_63_PC,Com {NUKA-COLA QUANTUM} você pode chegar a uma {QUEST} instantaneamente. {CLICK} aqui para usar a {NUKA-COLA QUANTUM} fornecida pela Vault-Tec para chegar nesta {QUEST} agora.
Message_Tutorial_63_Xbox,Com {NUKA-COLA QUANTUM} você pode chegar a uma {QUEST} instantaneamente. Selecione {REACH NOW} para usar a {NUKA-COLA QUANTUM} fornecida pela Vault-Tec.
Message_Tutorial_64,"Você também pode usar {NUKA-COLA QUANTUM} para pular {OBJECTIVES} no {VAULT} e para acelerar {CRAFTING}, {TRAINING} e a {CUSTOMIZATION} da Barbearia."
Message_Tutorial_65,"{QUESTS} permitem que você explore novos locais, conheça novos {DWELLERS} e colete {LOOT}. O {MAP ICON} no canto superior direito exibirá seus {QUEST OBJECTIVES}."
Message_Tutorial_66,Seus Dwellers sairão automaticamente do Vault para iniciar a Missão.
Message_Tutorial_67,"Se você não quiser novos Dwellers, pode {STOP} o {RADIO STUDIO} de fazer chamadas externas. Ele ainda transmitirá no Vault e aumentará a {HAPPINESS}."
Message_Tutorial_68,"Para designar um {DWELLER}, {TAP} e {HOLD} no Dweller e depois {DRAG} para uma Sala. Tente designar este {DWELLER} à Sala {POWER GENERATOR} que você acabou de construir."
Message_Tutorial_68_PC,"Para designar um {DWELLER}, {CLICK} e {HOLD} no Dweller e depois {DRAG} para uma Sala. Tente designar este {DWELLER} à Sala {POWER GENERATOR} que você acabou de construir."
Message_Tutorial_68_PS4,Use o {LEFT STICK} para {MOVE} o {DWELLER} até a {POWER ROOM} e pressione [A] para designá-lo à Sala
Message_Tutorial_68_Switch,Use o {LEFT STICK} para {MOVE} o {DWELLER} até a {POWER ROOM} e pressione [A] para designá-lo à Sala
Message_Tutorial_68_Xbox,Use o {LEFT STICK} para {MOVE} o {DWELLER} até a {POWER ROOM} e pressione [A] para designá-lo à Sala
Message_Tutorial_NoRoomDwellers,Você acabou de usar o último espaço disponível para Dwellers no Vault. Construa mais {LIVING QUARTERS} para acomodar mais Dwellers.
Message_TutorialPopup_01_Body,"Se algum desses recursos ficar baixo, as barras no topo da tela ficarão vermelhas.

Com pouca Energia, as Salas começarão a desligar.
Com pouca Comida, os Dwellers começam a perder Saúde.
Com pouca Água, os Dwellers ficam irradiados.

A linha de recurso necessário na barra de recurso mostra as necessidades atuais de recursos do seu Vault."
Message_TutorialPopup_01_Hint,"Dica: Quanto mais acima ou abaixo da linha de recurso necessário seus recursos estiverem, maior o efeito."
Message_TutorialPopup_01_Title,"Seu Vault precisa de um suprimento constante de
Energia, Comida e Água para funcionar corretamente."
Message_TutorialPopup_02_Body,"Dwellers na Sala combatem o Desastre automaticamente.
Dwellers perdem Saúde enquanto combatem um Desastre.
Se os Dwellers falharem, o Desastre se espalha para Salas próximas."
